class_index,class_name,host_name,training_images,test_images,frequency_bin,dual_f1_pct_mean,flat_f1_pct_mean,dual_minus_flat_f1_pp
154,raspberry_spot,raspberry,11,4,1--25,48.52380952380952,25.333333333333332,23.190476190476186
129,peach_rust_bing,peach,5,2,1--25,46.666666666666664,26.666666666666664,20.0
147,plum_pocket_disease,plum,11,4,1--25,19.999999999999996,6.19047619047619,13.809523809523807
71,coffee_coffee_black_rot,coffee,3,2,1--25,19.999999999999996,6.666666666666666,13.33333333333333
155,raspberry_yellow_rust,raspberry,22,8,1--25,82.24439775910363,71.92600373482726,10.318394024276373
57,celery_celery_anthracnose,celery,18,6,1--25,48.58585858585859,40.17094017094017,8.414918414918418
173,tobacco,tobacco,45,14,26--100,50.259128633041676,42.027603619365635,8.231525013676041
122,maple_tar_spot,maple,16,5,1--25,21.904761904761905,14.404761904761903,7.500000000000002
113,grape_vine_roll_disease,grape,42,14,26--100,18.16349111276809,11.848167796443658,6.315323316324431
24,bean_rust,bean,29,10,26--100,11.166256516101717,4.969298245614035,6.1969582704876816
19,bean_bean_halo_blight,bean,35,12,26--100,33.30127085419439,27.15332636711947,6.147944487074923
212,zucchini_zucchini_downy_mildew,zucchini,27,9,26--100,63.840362939434144,57.738694999530914,6.10166793990323
94,eggplant_eggplant_cercospora_spot,eggplant,36,12,26--100,68.40969573692686,62.482579417362025,5.927116319564838
198,wheat_wheat_bacterial_streak_(black_chaff)_black_chaff_(),wheat,16,6,1--25,62.84848484848484,57.04273504273503,5.805749805749805
67,citrus_citrus_greening_disease,citrus,85,27,26--100,61.36318646286294,56.061425102213114,5.301761360649827
140,pepper_bell_spot,pepper,116,37,101--500,54.90478631831985,49.690317101150114,5.214469217169736
144,plum_plum_pocket_disease,plum,36,12,26--100,61.893766035642464,56.79885814668423,5.094907888958232
114,grape_vine_vine_roll_disease,grape,45,15,26--100,58.594627594627596,53.53651284858181,5.0581147460457885
23,bean_mosaic_virus,bean,41,13,26--100,21.37498366935707,17.08420926052505,4.290774408832021
127,peach_curl,peach,150,47,101--500,92.83616534793597,88.56635668605723,4.269808661878741
63,cherry_powdery_mildew,cherry,69,22,26--100,31.7267720365746,27.457281637711315,4.269490398863287
204,wheat_wheat_septoria_blotch,wheat,50,16,26--100,22.584911728839764,18.343322495323157,4.241589233516606
11,banana_banana_cigar_end_rot,banana,36,12,26--100,70.51477507999246,66.3245478650513,4.19022721494116
160,rice_sheath_blight,rice,109,34,101--500,64.20421240668279,60.174635997915985,4.0295764087668005
106,ginger_spot,ginger,35,11,26--100,17.531549834181412,13.529865701221201,4.001684132960211
68,citrus_greening_disease,citrus,66,21,26--100,45.67346445714918,41.69871386750084,3.9747505896483375
87,cucumber_bacterial_wilt,cucumber,22,7,1--25,23.684065934065934,20.004329004329005,3.6797369297369293
29,blueberry_rust,blueberry,71,23,26--100,40.84824469290767,37.36544234258237,3.4828023503253007
58,celery_celery_early_blight,celery,22,8,1--25,76.9467787114846,73.61129539535112,3.3354833161334767
25,blueberry_anthracnose,blueberry,26,8,26--100,86.4656862745098,83.23228414172686,3.233402132782942
117,lettuce_lettuce_downy_mildew,lettuce,52,17,26--100,70.80775113863349,67.67897590709643,3.1287752315370625
205,wheat_wheat_septoria_blotch_blotch_(),wheat,67,22,26--100,45.458818544144535,42.41257132186897,3.046247222275568
210,zucchini_yellow_mosaic_virus,zucchini,53,17,26--100,22.338921232569405,19.39545803658707,2.9434631959823356
138,pepper_bell_bell_powdery_mildew,pepper,17,6,1--25,57.82051282051282,54.92773892773893,2.8927738927738886
79,corn_blight,corn,121,38,101--500,42.78623908052815,39.91887365219584,2.867365428332306
82,corn_northern_blight,corn,133,42,101--500,44.01633609461283,41.19902127565281,2.8173148189600212
159,rice_rice_sheath_blight,rice,46,15,26--100,43.87794669839262,41.11660533326498,2.7613413651276417
93,eggplant_cercospora_spot,eggplant,14,5,1--25,27.3968253968254,24.826839826839823,2.569985569985576
163,soybean_downy_mildew,soybean,90,29,26--100,91.89822389881894,89.3365023482331,2.561721550585844
31,broccoli,broccoli,172,54,101--500,78.20367966621883,76.01650897990392,2.1871706863149143
88,cucumber_cucumber_angular_spot,cucumber,116,37,101--500,65.3661892356983,63.20281375390967,2.163375481788627
170,strawberry_anthracnose,strawberry,62,20,26--100,82.51297610936501,80.35326430343895,2.159711805926065
141,plum,plum,206,65,101--500,55.20173861605722,53.13558076098472,2.066157855072497
65,citrus_canker,citrus,90,28,26--100,31.69467867358437,29.632237975275785,2.062440698308585
146,plum_plum_rust,plum,22,7,1--25,62.45421245421245,60.41483516483517,2.039377289377285
177,tobacco_tobacco_frogeye_spot,tobacco,13,5,1--25,15.158730158730156,13.19047619047619,1.9682539682539666
112,grape_spot,grape,63,20,26--100,41.115019843572725,39.21524065680412,1.8997791867686047
51,cauliflower,cauliflower,122,39,101--500,77.79531260583892,75.92032538348329,1.874987222355628
109,grape_downy_mildew,grape,248,78,101--500,78.98689776867812,77.22143011165846,1.7654676570196557
101,garlic_rust,garlic,29,10,26--100,46.26753246753246,44.51213594146462,1.755396526067841
17,basil_downy_mildew,basil,14,5,1--25,28.8015873015873,27.06349206349206,1.7380952380952408
213,zucchini_zucchini_powdery_mildew,zucchini,130,41,101--500,43.22241685778701,41.58309281047675,1.6393240473102608
133,pepper_bell,pepper,189,59,101--500,75.47859824812244,73.87672833165615,1.6018699164662848
81,corn_healthy,corn,99,32,26--100,83.42310253824866,81.8873746743391,1.5357278639095568
91,cucumber_powdery_mildew,cucumber,28,9,26--100,38.616873065015476,37.095651080945196,1.52122198407028
118,lettuce_lettuce_mosaic_virus,lettuce,25,8,1--25,30.111888111888113,28.60939060939061,1.502497502497505
84,corn_smut,corn,186,59,101--500,95.93877192034071,94.50167028940281,1.437101630937903
22,bean_halo_blight,bean,35,12,26--100,9.654761904761905,8.380174291938998,1.2745876128229074
121,maple_maple_tar_spot,maple,72,23,26--100,84.95644948650491,83.75544124905826,1.2010082374466435
208,wheat_wheat_stripe_rust,wheat,210,66,101--500,92.13303286797978,90.98142920074179,1.1516036672379926
99,garlic_garlic_blight,garlic,58,19,26--100,38.86510723454769,37.72466261129052,1.1404446232571743
192,tomato_yellow_virus,tomato,48,15,26--100,24.610817668089034,23.48038917604135,1.1304284920476846
3,apple_mosaic_virus,apple,114,36,101--500,61.61696812113845,60.48868909344931,1.128279027689139
164,soybean_frog_eye_spot,soybean,135,43,101--500,84.69937411961476,83.58289012873375,1.116483990881008
207,wheat_wheat_stem_rust,wheat,90,28,26--100,86.2123928506492,85.14812746035247,1.0642653902967254
