"dataset","comparison","candidate","reference","metric","n_pairs","paired_seeds","mean_difference_pp","std_difference_pp","t_95ci_lower_pp","t_95ci_upper_pp"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","accuracy_pct","5","2026 2027 2028 2029 2030","0.0746556828420637","0.20862431078416033","-0.184385613008702","0.3336969786928294"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","macro_f1_pct","5","2026 2027 2028 2029 2030","0.3353094028017324","0.5163571808195704","-0.30583271883592056","0.9764515244393853"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","cross_host_error_pct","5","2026 2027 2028 2029 2030","-0.020594671128845398","0.04326872522582471","-0.07431988948992307","0.03313054723223227"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","accuracy_pct","5","2026 2027 2028 2029 2030","0.04633801003989788","0.12565544972959958","-0.10968383806744914","0.2023598581472449"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","macro_f1_pct","5","2026 2027 2028 2029 2030","-0.04846139304709425","0.6130745698105945","-0.8096940145951712","0.7127712285009826"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","cross_host_error_pct","5","2026 2027 2028 2029 2030","-0.028317672802162443","0.05100170615564152","-0.09164465518258993","0.035009309578265056"
"NPD-Rice-COCO-43","MAE - no penalty","dual_mae","dual_none","accuracy_pct","5","2026 2027 2028 2029 2030","-0.01500053573341802","0.05002729038862986","-0.07711762113666502","0.04711654966982899"
"NPD-Rice-COCO-43","MAE - no penalty","dual_mae","dual_none","macro_f1_pct","5","2026 2027 2028 2029 2030","-0.055931160171141414","0.09340226386222378","-0.17190538855959336","0.06004306821731052"
"NPD-Rice-COCO-43","MAE - no penalty","dual_mae","dual_none","cross_host_error_pct","5","2026 2027 2028 2029 2030","0.0021429336762027206","0.004791745371262807","-0.0038068040398538477","0.008092671392259288"
"NPD-Rice-COCO-43","KL - no penalty","dual_kl","dual_none","accuracy_pct","5","2026 2027 2028 2029 2030","-0.038572806171649175","0.019464161710685317","-0.06274075502302337","-0.014404857320274984"
"NPD-Rice-COCO-43","KL - no penalty","dual_kl","dual_none","macro_f1_pct","5","2026 2027 2028 2029 2030","-0.06880960634972552","0.11717690908519066","-0.2143039557816026","0.07668474308215156"
"NPD-Rice-COCO-43","KL - no penalty","dual_kl","dual_none","cross_host_error_pct","5","2026 2027 2028 2029 2030","0.004285867352405443","0.009583490742525617","-0.007613608079707699","0.016185342784518584"
