"dataset","comparison","candidate","reference","seed","metric","paired_difference_pp"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","2026","accuracy_pct","0.33466340584374166"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","2027","accuracy_pct","-0.16733170292187083"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","2028","accuracy_pct","0.07723001673316787"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","2029","accuracy_pct","-0.09010168618870296"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","2030","accuracy_pct","0.21881838074398274"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","2026","macro_f1_pct","0.5449745273633226"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","2027","macro_f1_pct","0.0534223721735998"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","2028","macro_f1_pct","0.34019245649530205"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","2029","macro_f1_pct","-0.3168739560572078"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","2030","macro_f1_pct","1.0548316140336453"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","2026","cross_host_error_pct","-0.03861500836658516"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","2027","cross_host_error_pct","0.0"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","2028","cross_host_error_pct","-0.07723001673317026"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","2029","cross_host_error_pct","0.03861500836658516"
"MultiCrop-88","MAE - no penalty","dual_mae","dual_none","2030","cross_host_error_pct","-0.025743338911056735"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","2026","accuracy_pct","-0.064358347277647"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","2027","accuracy_pct","0.1287166945552798"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","2028","accuracy_pct","0.20594671128844766"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","2029","accuracy_pct","-0.09010168618870296"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","2030","accuracy_pct","0.051486677822111915"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","2026","macro_f1_pct","-0.6475793753194665"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","2027","macro_f1_pct","0.1142674285155465"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","2028","macro_f1_pct","0.7229929613566668"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","2029","macro_f1_pct","-0.6990791395330547"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","2030","macro_f1_pct","0.26709115974483666"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","2026","cross_host_error_pct","-0.012871669455528367"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","2027","cross_host_error_pct","-0.02574333891105679"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","2028","cross_host_error_pct","-0.11584502509975542"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","2029","cross_host_error_pct","0.012871669455528367"
"MultiCrop-88","KL - no penalty","dual_kl","dual_none","2030","cross_host_error_pct","0.0"
"NPD-Rice-COCO-43","MAE - no penalty","dual_mae","dual_none","2026","accuracy_pct","0.0"
"NPD-Rice-COCO-43","MAE - no penalty","dual_mae","dual_none","2027","accuracy_pct","-0.04285867352403727"
"NPD-Rice-COCO-43","MAE - no penalty","dual_mae","dual_none","2028","accuracy_pct","-0.08571734704810297"
"NPD-Rice-COCO-43","MAE - no penalty","dual_mae","dual_none","2029","accuracy_pct","0.04285867352405148"
"NPD-Rice-COCO-43","MAE - no penalty","dual_mae","dual_none","2030","accuracy_pct","0.01071466838099866"
"NPD-Rice-COCO-43","MAE - no penalty","dual_mae","dual_none","2026","macro_f1_pct","-0.09976939734153234"
"NPD-Rice-COCO-43","MAE - no penalty","dual_mae","dual_none","2027","macro_f1_pct","-0.15762438547552904"
"NPD-Rice-COCO-43","MAE - no penalty","dual_mae","dual_none","2028","macro_f1_pct","-0.1071574971820155"
"NPD-Rice-COCO-43","MAE - no penalty","dual_mae","dual_none","2029","macro_f1_pct","0.02439676958988457"
"NPD-Rice-COCO-43","MAE - no penalty","dual_mae","dual_none","2030","macro_f1_pct","0.06049870955348524"
