"dataset","configuration","metric","n","mean","std","t_95ci_lower","t_95ci_upper"
"MultiCrop-88","dual_kl","accuracy_pct","5","97.70369416913373","0.14972136463993266","97.51779054089839","97.88959779736906"
"MultiCrop-88","dual_kl","macro_f1_pct","5","95.10747429792002","0.5143148665227923","94.46886804441769","95.74608055142235"
"MultiCrop-88","dual_kl","cross_host_error_pct","5","0.27545372634830734","0.02338254875091382","0.24642045737805318","0.3044869953185615"
"MultiCrop-88","dual_mae","accuracy_pct","5","97.7320118419359","0.14883346139335613","97.54721069119572","97.91681299267609"
"MultiCrop-88","dual_mae","macro_f1_pct","5","95.49124509376885","0.23776422496078925","95.19602181557423","95.78646837196348"
"MultiCrop-88","dual_mae","cross_host_error_pct","5","0.2831767280216244","0.035250518567715675","0.23940742819807848","0.32694602784517035"
"MultiCrop-88","dual_none","accuracy_pct","5","97.65735615909384","0.0788225557595312","97.55948502936081","97.75522728882686"
"MultiCrop-88","dual_none","macro_f1_pct","5","95.15593569096713","0.32854348980293563","94.7479950678346","95.56387631409966"
"MultiCrop-88","dual_none","cross_host_error_pct","5","0.3037713991504698","0.03356520738938164","0.2620946895428316","0.345448108758108"
"NPD-Rice-COCO-43","dual_kl","accuracy_pct","5","99.36569163184399","0.04443681850064565","99.31051603411701","99.42086722957096"
"NPD-Rice-COCO-43","dual_kl","macro_f1_pct","5","98.43824421983587","0.10300563478110474","98.31034583151605","98.56614260815569"
"NPD-Rice-COCO-43","dual_kl","cross_host_error_pct","5","0.02571520411443266","0.009583490742525617","0.013815728682319518","0.0376146795465458"
"NPD-Rice-COCO-43","dual_mae","accuracy_pct","5","99.38926390228222","0.03936820544492334","99.34038181890737","99.43814598565707"
"NPD-Rice-COCO-43","dual_mae","macro_f1_pct","5","98.45112266601446","0.11550706994398821","98.307701695727","98.5945436363019"
"NPD-Rice-COCO-43","dual_mae","cross_host_error_pct","5","0.023572270438229938","0.004791745371262807","0.01762253272217337","0.029522008154286506"
"NPD-Rice-COCO-43","dual_none","accuracy_pct","5","99.40426443801564","0.04258996445805352","99.3513820124633","99.45714686356798"
"NPD-Rice-COCO-43","dual_none","macro_f1_pct","5","98.5070538261856","0.05953821757586027","98.43312736490442","98.58098028746677"
"NPD-Rice-COCO-43","dual_none","cross_host_error_pct","5","0.021429336762027216","0.0","0.021429336762027216","0.021429336762027216"
