"dataset","configuration","seed","calibration","nonempty_bin_index","mean_confidence","observed_accuracy","sample_fraction"
"NPD-Rice-COCO-43","flat","2026","raw","0","0.3770001968956629","1.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2026","raw","1","0.5266141137543122","0.6666666666666666","0.0003214400514304082"
"NPD-Rice-COCO-43","flat","2026","raw","2","0.5659408916325748","0.5","0.0010714668381013607"
"NPD-Rice-COCO-43","flat","2026","raw","3","0.6255488499283894","0.5","0.0010714668381013607"
"NPD-Rice-COCO-43","flat","2026","raw","4","0.7006266543339769","0.625","0.0008571734704810886"
"NPD-Rice-COCO-43","flat","2026","raw","5","0.7623530254282473","0.8","0.0005357334190506804"
"NPD-Rice-COCO-43","flat","2026","raw","6","0.8386723904653056","0.56","0.002678667095253402"
"NPD-Rice-COCO-43","flat","2026","raw","7","0.9079914462324674","0.8333333333333334","0.0025715204114432656"
"NPD-Rice-COCO-43","flat","2026","raw","8","0.9996990054506889","0.9971882772791175","0.9907853851923283"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0","0.35737452859272206","1.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","1","0.45273559279331355","1.0","0.00021429336762027214"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","2","0.49926183998328844","0.3","0.0010714668381013607"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","3","0.557947298089368","0.6428571428571429","0.001500053573341905"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","4","0.6320903873827042","0.6363636363636364","0.0011786135219114969"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","5","0.7031938864897365","0.6086956521739131","0.0024643737276331297"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","6","0.7729949705576544","0.8235294117647058","0.0018214936247723133"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","7","0.8314144039275","0.8709677419354839","0.0033215471981142184"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","8","0.9018919287152763","0.9180327868852459","0.006535947712418301"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","9","0.9992820570861214","0.9979264433045946","0.9817850637522769"
"NPD-Rice-COCO-43","flat","2027","raw","0","0.4206897298793871","0.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2027","raw","1","0.5233387359528506","0.6666666666666666","0.0003214400514304082"
"NPD-Rice-COCO-43","flat","2027","raw","2","0.5817654840035009","1.0","0.0007500267866709525"
"NPD-Rice-COCO-43","flat","2027","raw","3","0.6359573087440883","0.5","0.0006428801028608164"
"NPD-Rice-COCO-43","flat","2027","raw","4","0.6889972289193541","0.5714285714285714","0.0007500267866709525"
"NPD-Rice-COCO-43","flat","2027","raw","5","0.7627134894092688","0.5555555555555556","0.0009643201542912247"
"NPD-Rice-COCO-43","flat","2027","raw","6","0.8355698630877474","0.8823529411764706","0.0018214936247723133"
"NPD-Rice-COCO-43","flat","2027","raw","7","0.9035120362276055","0.7272727272727273","0.0011786135219114969"
"NPD-Rice-COCO-43","flat","2027","raw","8","0.9997352266611811","0.9962251941328731","0.9934640522875817"
"NPD-Rice-COCO-43","flat","2027","temperature_scaled","0","0.36859836692387143","0.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2027","temperature_scaled","1","0.4662387603507242","1.0","0.00021429336762027214"
"NPD-Rice-COCO-43","flat","2027","temperature_scaled","2","0.5064401086416414","0.7272727272727273","0.0011786135219114969"
"NPD-Rice-COCO-43","flat","2027","temperature_scaled","3","0.5593996364041749","0.5","0.0008571734704810886"
"NPD-Rice-COCO-43","flat","2027","temperature_scaled","4","0.6273277554167879","0.6923076923076923","0.001392906889531769"
"NPD-Rice-COCO-43","flat","2027","temperature_scaled","5","0.6933268522882822","0.8","0.0016072002571520412"
"NPD-Rice-COCO-43","flat","2027","temperature_scaled","6","0.7624007963399843","0.8333333333333334","0.0012857602057216328"
"NPD-Rice-COCO-43","flat","2027","temperature_scaled","7","0.8361298341949155","0.75","0.00300010714668381"
"NPD-Rice-COCO-43","flat","2027","temperature_scaled","8","0.9048540943919771","0.8148148148148148","0.0057859209257473485"
"NPD-Rice-COCO-43","flat","2027","temperature_scaled","9","0.9992673642709454","0.9980411361410382","0.9845708775313404"
"NPD-Rice-COCO-43","flat","2028","raw","0","0.39526604602521287","1.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2028","raw","1","0.42525327430038234","0.0","0.00021429336762027214"
"NPD-Rice-COCO-43","flat","2028","raw","2","0.5137421226729223","0.5714285714285714","0.0007500267866709525"
"NPD-Rice-COCO-43","flat","2028","raw","3","0.5700985228352831","0.8","0.0005357334190506804"
"NPD-Rice-COCO-43","flat","2028","raw","4","0.6466386106807789","0.625","0.0008571734704810886"
"NPD-Rice-COCO-43","flat","2028","raw","5","0.704861176110715","0.8","0.0005357334190506804"
"NPD-Rice-COCO-43","flat","2028","raw","6","0.7745624777550884","0.6","0.0010714668381013607"
"NPD-Rice-COCO-43","flat","2028","raw","7","0.8335763234989102","0.5625","0.0017143469409621772"
"NPD-Rice-COCO-43","flat","2028","raw","8","0.8997342824569058","0.8888888888888888","0.0019286403085824494"
"NPD-Rice-COCO-43","flat","2028","raw","9","0.9996761319158272","0.9969765684051398","0.9922854387656702"
"NPD-Rice-COCO-43","flat","2028","temperature_scaled","0","0.3602345771001929","0.3333333333333333","0.0003214400514304082"
"NPD-Rice-COCO-43","flat","2028","temperature_scaled","1","0.465209399966138","1.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2028","temperature_scaled","2","0.4952761367017251","0.6666666666666666","0.0012857602057216328"
