"dataset","configuration","seed","calibration","coverage","retained_images","selective_risk_pct","confidence_threshold"
"NPD-Rice-COCO-43","flat","2026","raw","0.009964641594342655","93","0.0","0.9999999999994678"
"NPD-Rice-COCO-43","flat","2026","raw","0.01500053573341905","140","0.0","0.9999999999992124"
"NPD-Rice-COCO-43","flat","2026","raw","0.01992928318868531","186","0.0","0.9999999999989444"
"NPD-Rice-COCO-43","flat","2026","raw","0.024965177327761705","233","0.0","0.999999999998689"
"NPD-Rice-COCO-43","flat","2026","raw","0.029893924783027964","279","0.0","0.9999999999983682"
"NPD-Rice-COCO-43","flat","2026","raw","0.034822672238294224","325","0.0","0.9999999999978391"
"NPD-Rice-COCO-43","flat","2026","raw","0.03985856637737062","372","0.0","0.9999999999972704"
"NPD-Rice-COCO-43","flat","2026","raw","0.04478731383263688","418","0.0","0.9999999999967546"
"NPD-Rice-COCO-43","flat","2026","raw","0.049823207971713274","465","0.0","0.9999999999960905"
"NPD-Rice-COCO-43","flat","2026","raw","0.05475195542697953","511","0.0","0.9999999999953519"
"NPD-Rice-COCO-43","flat","2026","raw","0.05978784956605593","558","0.0","0.9999999999940394"
"NPD-Rice-COCO-43","flat","2026","raw","0.0647165970213222","604","0.0","0.9999999999926841"
"NPD-Rice-COCO-43","flat","2026","raw","0.06964534447658845","650","0.0","0.9999999999911613"
"NPD-Rice-COCO-43","flat","2026","raw","0.07468123861566485","697","0.0","0.9999999999892921"
"NPD-Rice-COCO-43","flat","2026","raw","0.0796099860709311","743","0.0","0.999999999987152"
"NPD-Rice-COCO-43","flat","2026","raw","0.0846458802100075","790","0.0","0.9999999999846023"
"NPD-Rice-COCO-43","flat","2026","raw","0.08957462766527376","836","0.0","0.9999999999822473"
"NPD-Rice-COCO-43","flat","2026","raw","0.09461052180435016","883","0.0","0.9999999999792626"
"NPD-Rice-COCO-43","flat","2026","raw","0.09953926925961641","929","0.0","0.9999999999764377"
"NPD-Rice-COCO-43","flat","2026","raw","0.10457516339869281","976","0.0","0.999999999973626"
"NPD-Rice-COCO-43","flat","2026","raw","0.10950391085395907","1022","0.0","0.9999999999698721"
"NPD-Rice-COCO-43","flat","2026","raw","0.11443265830922533","1068","0.0","0.9999999999663511"
"NPD-Rice-COCO-43","flat","2026","raw","0.11946855244830172","1115","0.0","0.9999999999635718"
"NPD-Rice-COCO-43","flat","2026","raw","0.12439729990356799","1161","0.0","0.9999999999584048"
"NPD-Rice-COCO-43","flat","2026","raw","0.1294331940426444","1208","0.0","0.9999999999537004"
"NPD-Rice-COCO-43","flat","2026","raw","0.13436194149791064","1254","0.0","0.9999999999481168"
"NPD-Rice-COCO-43","flat","2026","raw","0.13939783563698704","1301","0.0","0.9999999999411477"
"NPD-Rice-COCO-43","flat","2026","raw","0.1443265830922533","1347","0.0","0.9999999999361588"
"NPD-Rice-COCO-43","flat","2026","raw","0.14925533054751955","1393","0.0","0.9999999999304203"
"NPD-Rice-COCO-43","flat","2026","raw","0.15429122468659595","1440","0.0","0.9999999999252511"
"NPD-Rice-COCO-43","flat","2026","raw","0.1592199721418622","1486","0.0","0.999999999919156"
"NPD-Rice-COCO-43","flat","2026","raw","0.1642558662809386","1533","0.0","0.9999999999134856"
"NPD-Rice-COCO-43","flat","2026","raw","0.16918461373620486","1579","0.0","0.9999999999045992"
"NPD-Rice-COCO-43","flat","2026","raw","0.17422050787528126","1626","0.0","0.9999999998956848"
"NPD-Rice-COCO-43","flat","2026","raw","0.1791492553305475","1672","0.0","0.9999999998874842"
"NPD-Rice-COCO-43","flat","2026","raw","0.18407800278581377","1718","0.0","0.9999999998774596"
"NPD-Rice-COCO-43","flat","2026","raw","0.18911389692489017","1765","0.0","0.9999999998671443"
"NPD-Rice-COCO-43","flat","2026","raw","0.19404264438015642","1811","0.0","0.9999999998583329"
"NPD-Rice-COCO-43","flat","2026","raw","0.19907853851923282","1858","0.0","0.9999999998484244"
"NPD-Rice-COCO-43","flat","2026","raw","0.2040072859744991","1904","0.0","0.9999999998415396"
"NPD-Rice-COCO-43","flat","2026","raw","0.20904318011357548","1951","0.0","0.9999999998286371"
"NPD-Rice-COCO-43","flat","2026","raw","0.21397192756884176","1997","0.0","0.9999999998172635"
"NPD-Rice-COCO-43","flat","2026","raw","0.218900675024108","2043","0.0","0.9999999998048181"
"NPD-Rice-COCO-43","flat","2026","raw","0.2239365691631844","2090","0.0","0.9999999997933786"
"NPD-Rice-COCO-43","flat","2026","raw","0.22886531661845066","2136","0.0","0.9999999997763536"
"NPD-Rice-COCO-43","flat","2026","raw","0.23390121075752707","2183","0.0","0.9999999997617899"
"NPD-Rice-COCO-43","flat","2026","raw","0.23882995821279332","2229","0.0","0.999999999749132"
"NPD-Rice-COCO-43","flat","2026","raw","0.24386585235186972","2276","0.0","0.9999999997318936"
"NPD-Rice-COCO-43","flat","2026","raw","0.24879459980713597","2322","0.0","0.9999999997166238"
"NPD-Rice-COCO-43","flat","2026","raw","0.25372334726240225","2368","0.0","0.9999999996990037"
"NPD-Rice-COCO-43","flat","2026","raw","0.2587592414014786","2415","0.0","0.9999999996756872"
"NPD-Rice-COCO-43","flat","2026","raw","0.2636879888567449","2461","0.0","0.9999999996536506"
"NPD-Rice-COCO-43","flat","2026","raw","0.2687238829958213","2508","0.0","0.9999999996336641"
"NPD-Rice-COCO-43","flat","2026","raw","0.27365263045108756","2554","0.0","0.9999999996147384"
"NPD-Rice-COCO-43","flat","2026","raw","0.2786885245901639","2601","0.0","0.9999999995843287"
"NPD-Rice-COCO-43","flat","2026","raw","0.2836172720454302","2647","0.0","0.9999999995527824"
"NPD-Rice-COCO-43","flat","2026","raw","0.28854601950069647","2693","0.0","0.9999999995292574"
"NPD-Rice-COCO-43","flat","2026","raw","0.2935819136397729","2740","0.0","0.9999999994915467"
"NPD-Rice-COCO-43","flat","2026","raw","0.2985106610950391","2786","0.0","0.999999999466282"
"NPD-Rice-COCO-43","flat","2026","raw","0.3035465552341155","2833","0.0","0.9999999994340933"
"NPD-Rice-COCO-43","flat","2026","raw","0.3084753026893818","2879","0.0","0.9999999994146624"
"NPD-Rice-COCO-43","flat","2026","raw","0.3135111968284582","2926","0.0","0.9999999993788586"
"NPD-Rice-COCO-43","flat","2026","raw","0.3184399442837244","2972","0.0","0.9999999993436299"
"NPD-Rice-COCO-43","flat","2026","raw","0.3233686917389907","3018","0.0","0.9999999993063988"
"NPD-Rice-COCO-43","flat","2026","raw","0.3284045858780671","3065","0.0","0.9999999992668467"
"NPD-Rice-COCO-43","flat","2026","raw","0.3333333333333333","3111","0.0","0.999999999219652"
"NPD-Rice-COCO-43","flat","2026","raw","0.3383692274724097","3158","0.0","0.9999999991730371"
"NPD-Rice-COCO-43","flat","2026","raw","0.343297974927676","3204","0.0","0.9999999991206705"
"NPD-Rice-COCO-43","flat","2026","raw","0.3483338690667524","3251","0.0","0.999999999060434"
"NPD-Rice-COCO-43","flat","2026","raw","0.3532626165220186","3297","0.0","0.9999999990042738"
"NPD-Rice-COCO-43","flat","2026","raw","0.3581913639772849","3343","0.0","0.9999999989383281"
"NPD-Rice-COCO-43","flat","2026","raw","0.3632272581163613","3390","0.0","0.999999998882209"
"NPD-Rice-COCO-43","flat","2026","raw","0.36815600557162753","3436","0.0","0.9999999988284385"
"NPD-Rice-COCO-43","flat","2026","raw","0.37319189971070393","3483","0.0","0.9999999987629171"
"NPD-Rice-COCO-43","flat","2026","raw","0.3781206471659702","3529","0.0","0.999999998674771"
"NPD-Rice-COCO-43","flat","2026","raw","0.3831565413050466","3576","0.0","0.9999999986168249"
"NPD-Rice-COCO-43","flat","2026","raw","0.38808528876031284","3622","0.0","0.9999999985368406"
"NPD-Rice-COCO-43","flat","2026","raw","0.3930140362155791","3668","0.0","0.9999999984639556"
"NPD-Rice-COCO-43","flat","2026","raw","0.3980499303546555","3715","0.0","0.9999999983831624"
