"dataset","comparison","candidate","reference","seed","metric","direction_of_improvement","candidate_value_pct","reference_value_pct","paired_difference_pp","within_equivalence_margin"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","2026","accuracy_pct","higher_is_better","97.54151113399408","97.34843609216115","0.19307504183292679","True"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","2027","accuracy_pct","higher_is_better","97.68309949800489","97.54151113399408","0.14158836401081487","True"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","2028","accuracy_pct","higher_is_better","97.65735615909384","97.79894452310465","-0.14158836401081487","True"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","2029","accuracy_pct","higher_is_better","97.76032951473806","97.60586948127172","0.15446003346633574","True"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","2030","accuracy_pct","higher_is_better","97.6444844896383","97.76032951473806","-0.11584502509975891","True"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","2031","accuracy_pct","higher_is_better","97.74745784528254","97.68309949800489","0.064358347277647","True"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","2032","accuracy_pct","higher_is_better","97.88904620929334","97.69597116746041","0.19307504183292679","True"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","2033","accuracy_pct","higher_is_better","97.81181619256017","97.6444844896383","0.16733170292187083","True"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","2034","accuracy_pct","higher_is_better","97.68309949800489","97.79894452310465","-0.11584502509975891","True"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","2035","accuracy_pct","higher_is_better","97.65735615909384","97.69597116746041","-0.03861500836657683","True"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","2026","macro_f1_pct","higher_is_better","94.99792700303868","94.54297447128445","0.45495253175423045","False"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","2027","macro_f1_pct","higher_is_better","95.2619521305462","95.07704631663579","0.18490581391041871","True"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","2028","macro_f1_pct","higher_is_better","95.01321898236993","95.3111313479647","-0.29791236559476886","False"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","2029","macro_f1_pct","higher_is_better","95.67532880509788","94.68193488708127","0.9933939180166078","False"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","2030","macro_f1_pct","higher_is_better","94.83125153378292","95.40401452288549","-0.5727629891025714","False"
