"dataset","configuration","metric","n","mean","std","t_95ci_lower","t_95ci_upper"
"MultiCrop-88","dual_none","accuracy_pct","10","97.7075556699704","0.09773620216094592","97.6376394027895","97.7774719371513"
"MultiCrop-88","dual_none","macro_f1_pct","10","95.33286548895532","0.31927843733292455","95.10446745387605","95.56126352403459"
"MultiCrop-88","dual_none","cross_host_error_pct","10","0.3063457330415755","0.04324744726770208","0.27540837297225823","0.3372830931108927"
"MultiCrop-88","flat","accuracy_pct","10","97.65735615909382","0.13581492076495957","97.56020001758834","97.7545123005993"
"MultiCrop-88","flat","macro_f1_pct","10","95.13837465065546","0.3100869236482555","94.916551828367","95.36019747294392"
"MultiCrop-88","flat","cross_host_error_pct","10","0.33595057278929075","0.040454282632078495","0.30701132233162926","0.36488982324695224"
"Agri-Foundation-145k","dual_none","accuracy_pct","10","92.27127165042525","0.11760635899547994","92.18714112932969","92.35540217152081"
"Agri-Foundation-145k","dual_none","macro_f1_pct","10","63.216190771746895","0.7911678259274719","62.6502234036739","63.78215813981989"
"Agri-Foundation-145k","dual_none","cross_host_error_pct","10","3.1383216831376326","0.07614006732095034","3.0838543601571735","3.1927890061180917"
"Agri-Foundation-145k","flat","accuracy_pct","10","92.15075238455975","0.16395707316455368","92.03346455998586","92.26804020913364"
"Agri-Foundation-145k","flat","macro_f1_pct","10","62.645043090132845","0.6397317596228468","62.18740655790657","63.10267962235912"
"Agri-Foundation-145k","flat","cross_host_error_pct","10","3.3211666264935777","0.0974111817259688","3.251482864925421","3.3908503880617347"
"NPD-Rice-COCO-43","dual_none","accuracy_pct","10","99.39783563698704","0.03146214585598718","99.37532897367174","99.42034230030234"
"NPD-Rice-COCO-43","dual_none","macro_f1_pct","10","98.483412000476","0.06308129156306422","98.4382863629177","98.5285376380343"
"NPD-Rice-COCO-43","dual_none","cross_host_error_pct","10","0.023572270438229938","0.004517700860985576","0.020340501928134438","0.026804038948325438"
"NPD-Rice-COCO-43","flat","accuracy_pct","10","99.40855030536804","0.06903366222136205","99.35916659835232","99.45793401238376"
"NPD-Rice-COCO-43","flat","macro_f1_pct","10","98.53753774396507","0.12037443939448424","98.45142705743976","98.62364843049039"
"NPD-Rice-COCO-43","flat","cross_host_error_pct","10","0.03750133933354763","0.017678300897552884","0.024855044700343304","0.05014763396675195"
