dataset,metric,margin_pp,n_pairs,mean_difference_pp,tost_90ci_lower_pp,tost_90ci_upper_pp,tost_lower_p,tost_upper_p,tost_p,holm_adjusted_tost_p,equivalent_holm_0_05
MultiCrop-88,accuracy_pct,0.1,10,0.05019951087656123,-0.030351294668257228,0.1307503164213797,0.0038253018050086545,0.14318301672856518,0.14318301672856518,0.8590981003713911,False
MultiCrop-88,macro_f1_pct,0.1,10,0.19449083829982355,-0.06062423393427013,0.44960591053391724,0.0317219419084141,0.7428781909507796,0.7428781909507796,1.0,False
MultiCrop-88,cross_host_error_pct,0.1,10,-0.029604839747715262,-0.05640386235562136,-0.0028058171398091664,0.0004766708891219245,4.828879910001821e-06,0.0004766708891219245,0.003813367112975396,True
Agri-Foundation-145k,accuracy_pct,0.1,10,0.12051926586550366,0.008556826590120997,0.2324817051408863,0.0028275933269888416,0.6276971189771425,0.6276971189771425,1.0,False
Agri-Foundation-145k,macro_f1_pct,0.1,10,0.5711476816140418,0.00871247125791974,1.133582891970164,0.028243039446832204,0.9204931649026744,0.9204931649026744,1.0,False
Agri-Foundation-145k,cross_host_error_pct,0.1,10,-0.1828449433559451,-0.2533758810667335,-0.11231400564515667,0.9701354574011807,2.1608939722385736e-05,0.9701354574011807,1.0,False
NPD-Rice-COCO-43,accuracy_pct,0.1,10,-0.010714668381011438,-0.05433994421070926,0.03291060744868639,0.0022712850763206365,0.0005992085628057017,0.0022712850763206365,0.015898995534244457,True
NPD-Rice-COCO-43,macro_f1_pct,0.1,10,-0.05412574348908096,-0.13294867891176673,0.024697191933604812,0.15690894851200604,0.0029452273574011173,0.15690894851200604,0.8590981003713911,False
NPD-Rice-COCO-43,cross_host_error_pct,0.1,10,-0.013929068895317679,-0.02528780340063322,-0.002570334390002137,1.09742353699771e-07,9.521530134684872e-09,1.09742353699771e-07,9.87681183297939e-07,True
MultiCrop-88,accuracy_pct,0.25,10,0.05019951087656123,-0.030351294668257228,0.1307503164213797,3.814170454929158e-05,0.0006960442810960972,0.0006960442810960972,0.004126613721600126,True
MultiCrop-88,macro_f1_pct,0.25,10,0.19449083829982355,-0.06062423393427013,0.44960591053391724,0.005469283260449339,0.3496480841762225,0.3496480841762225,0.699296168352445,False
MultiCrop-88,cross_host_error_pct,0.25,10,-0.029604839747715262,-0.05640386235562136,-0.0028058171398091664,5.399733522642239e-08,6.731539684782385e-09,5.399733522642239e-08,4.319786818113791e-07,True
Agri-Foundation-145k,accuracy_pct,0.25,10,0.12051926586550366,0.008556826590120997,0.2324817051408863,9.336374578395282e-05,0.03152225166335354,0.03152225166335354,0.12608900665341416,False
Agri-Foundation-145k,macro_f1_pct,0.25,10,0.5711476816140418,0.00871247125791974,1.133582891970164,0.012679254805107369,0.8387328408170069,0.8387328408170069,0.8387328408170069,False
Agri-Foundation-145k,cross_host_error_pct,0.25,10,-0.1828449433559451,-0.2533758810667335,-0.11231400564515667,0.05743838388812116,6.659603754107988e-07,0.05743838388812116,0.17231515166436348,False
NPD-Rice-COCO-43,accuracy_pct,0.25,10,-0.010714668381011438,-0.05433994421070926,0.03291060744868639,1.7097328184663945e-06,8.332059399395246e-07,1.7097328184663945e-06,1.1968129729264762e-05,True
NPD-Rice-COCO-43,macro_f1_pct,0.25,10,-0.05412574348908096,-0.13294867891176673,0.024697191933604812,0.0006877689536000211,2.919130416239681e-05,0.0006877689536000211,0.004126613721600126,True
NPD-Rice-COCO-43,cross_host_error_pct,0.25,10,-0.013929068895317679,-0.02528780340063322,-0.002570334390002137,1.4680532796140794e-11,5.4066745508713405e-12,1.4680532796140794e-11,1.3212479516526713e-10,True
MultiCrop-88,accuracy_pct,0.5,10,0.05019951087656123,-0.030351294668257228,0.1307503164213797,2.678389927904219e-07,1.472647362469041e-06,1.472647362469041e-06,7.931475638309669e-06,True
MultiCrop-88,macro_f1_pct,0.5,10,0.19449083829982355,-0.06062423393427013,0.44960591053391724,0.00037445205344331547,0.027886960933250698,0.027886960933250698,0.055773921866501396,False
MultiCrop-88,cross_host_error_pct,0.5,10,-0.029604839747715262,-0.05640386235562136,-0.0028058171398091664,6.64758524818801e-11,2.304080217930065e-11,6.64758524818801e-11,5.318068198550408e-10,True
Agri-Foundation-145k,accuracy_pct,0.5,10,0.12051926586550366,0.008556826590120997,0.2324817051408863,1.5680906974824093e-06,7.81966826196628e-05,7.81966826196628e-05,0.0002345900478589884,True
Agri-Foundation-145k,macro_f1_pct,0.5,10,0.5711476816140418,0.00871247125791974,1.133582891970164,0.003409004269529726,0.5890940107322484,0.5890940107322484,0.5890940107322484,False
Agri-Foundation-145k,cross_host_error_pct,0.5,10,-0.1828449433559451,-0.2533758810667335,-0.11231400564515667,8.707917626224072e-06,1.298944426612911e-08,8.707917626224072e-06,3.483167050489629e-05,True
NPD-Rice-COCO-43,accuracy_pct,0.5,10,-0.010714668381011438,-0.05433994421070926,0.03291060744868639,3.558645477299777e-09,2.436610561732315e-09,3.558645477299777e-09,2.4910518341098436e-08,True
NPD-Rice-COCO-43,macro_f1_pct,0.5,10,-0.05412574348908096,-0.13294867891176673,0.024697191933604812,1.3219126063849447e-06,2.0928367725606796e-07,1.3219126063849447e-06,7.931475638309669e-06,True
NPD-Rice-COCO-43,cross_host_error_pct,0.5,10,-0.013929068895317679,-0.02528780340063322,-0.002570334390002137,2.250162444221336e-14,1.3635019830606837e-14,2.250162444221336e-14,2.0251461997992023e-13,True
