dataset,comparison,candidate,reference,metric,n_pairs,paired_seeds,mean_difference_pp,std_difference_pp,t_95ci_lower_pp,t_95ci_upper_pp
MultiCrop-88,MAE - no penalty,dual_mae,dual_none,accuracy_pct,5,2026 2027 2028 2029 2030,0.0746556828420637,0.2086243107841603,-0.184385613008702,0.3336969786928294
MultiCrop-88,MAE - no penalty,dual_mae,dual_none,macro_f1_pct,5,2026 2027 2028 2029 2030,0.3353094028017324,0.5163571808195704,-0.3058327188359205,0.9764515244393852
MultiCrop-88,MAE - no penalty,dual_mae,dual_none,cross_host_error_pct,5,2026 2027 2028 2029 2030,-0.0205946711288453,0.0432687252258247,-0.074319889489923,0.0331305472322322
MultiCrop-88,KL - no penalty,dual_kl,dual_none,accuracy_pct,5,2026 2027 2028 2029 2030,0.0463380100398978,0.1256554497295995,-0.1096838380674491,0.2023598581472449
MultiCrop-88,KL - no penalty,dual_kl,dual_none,macro_f1_pct,5,2026 2027 2028 2029 2030,-0.0484613930470942,0.6130745698105945,-0.8096940145951712,0.7127712285009826
MultiCrop-88,KL - no penalty,dual_kl,dual_none,cross_host_error_pct,5,2026 2027 2028 2029 2030,-0.0283176728021624,0.0510017061556415,-0.0916446551825899,0.035009309578265
NPD-Rice-COCO-43,MAE - no penalty,dual_mae,dual_none,accuracy_pct,5,2026 2027 2028 2029 2030,-0.015000535733418,0.0500272903886298,-0.077117621136665,0.0471165496698289
NPD-Rice-COCO-43,MAE - no penalty,dual_mae,dual_none,macro_f1_pct,5,2026 2027 2028 2029 2030,-0.0559311601711414,0.0934022638622237,-0.1719053885595933,0.0600430682173105
NPD-Rice-COCO-43,MAE - no penalty,dual_mae,dual_none,cross_host_error_pct,5,2026 2027 2028 2029 2030,0.0021429336762027,0.0047917453712628,-0.0038068040398538,0.0080926713922592
NPD-Rice-COCO-43,KL - no penalty,dual_kl,dual_none,accuracy_pct,5,2026 2027 2028 2029 2030,-0.0385728061716491,0.0194641617106853,-0.0627407550230233,-0.0144048573202749
NPD-Rice-COCO-43,KL - no penalty,dual_kl,dual_none,macro_f1_pct,5,2026 2027 2028 2029 2030,-0.0688096063497255,0.1171769090851906,-0.2143039557816026,0.0766847430821515
NPD-Rice-COCO-43,KL - no penalty,dual_kl,dual_none,cross_host_error_pct,5,2026 2027 2028 2029 2030,0.0042858673524054,0.0095834907425256,-0.0076136080797076,0.0161853427845185
Agri-Foundation-145k,MAE - no penalty,dual_mae,dual_none,accuracy_pct,5,2026 2027 2028 2029 2030,-0.1549533418270755,0.21893411878394986,-0.426795955099573,0.11688927144542197
Agri-Foundation-145k,MAE - no penalty,dual_mae,dual_none,macro_f1_pct,5,2026 2027 2028 2029 2030,-0.44950100570536194,0.9650321223797244,-1.6477466491744368,0.748744637763713
Agri-Foundation-145k,MAE - no penalty,dual_mae,dual_none,cross_host_error_pct,5,2026 2027 2028 2029 2030,0.10123618332702042,0.10863391602381087,-0.03365063918363681,0.23612300583767765
Agri-Foundation-145k,KL - no penalty,dual_kl,dual_none,accuracy_pct,5,2026 2027 2028 2029 2030,0.10881168003855919,0.08237592534395949,0.006528459220243477,0.2110949008568749
Agri-Foundation-145k,KL - no penalty,dual_kl,dual_none,macro_f1_pct,5,2026 2027 2028 2029 2030,0.41894819232901453,0.45557073931465913,-0.14671759331307094,0.9846139779711001
Agri-Foundation-145k,KL - no penalty,dual_kl,dual_none,cross_host_error_pct,5,2026 2027 2028 2029 2030,-0.07300024103853175,0.08446532139847848,-0.1778777897157327,0.031877307638669194
